rxn_index,rxn,min,max,subsystem
75,MAR04401,0,-0,Fructose and mannose metabolism
76,MAR04402,0,-0,Fructose and mannose metabolism
77,MAR04490,0,-0,Fructose and mannose metabolism
78,MAR04706,0,1000,Fructose and mannose metabolism
79,MAR08768,0,-0,Fructose and mannose metabolism
80,MAR04590,0,1000,Pentose and glucuronate interconversions
81,MAR04591,0,1000,Pentose and glucuronate interconversions
82,MAR04592,0,-0,Pentose and glucuronate interconversions
83,MAR04593,0,-0,Pentose and glucuronate interconversions
84,MAR04595,0,1000,Pentose and glucuronate interconversions
85,MAR08341,0,-0,Pentose and glucuronate interconversions
86,MAR08342,0,-0,Pentose and glucuronate interconversions
87,MAR08344,0,-0,Pentose and glucuronate interconversions
88,MAR08352,0,-0,Pentose and glucuronate interconversions
89,MAR08727,0,-0,Pentose and glucuronate interconversions
90,MAR08729,0,2.414448e-06,Pentose and glucuronate interconversions
91,MAR06537,0,-0,Pentose and glucuronate interconversions
92,MAR01568,0,1000,Pyruvate metabolism
93,MAR03853,0,1000,Pyruvate metabolism
94,MAR03854,0,1000,Pyruvate metabolism
95,MAR03855,0,1000,Pyruvate metabolism
96,MAR03857,0,1000,Pyruvate metabolism
97,MAR03859,0,1000,Pyruvate metabolism
98,MAR04087,0,1000,Pyruvate metabolism
99,MAR04089,0,1000,Pyruvate metabolism
100,MAR04091,0,1000,Pyruvate metabolism
101,MAR04103,0,1000,Pyruvate metabolism
102,MAR04143,0,1000,Pyruvate metabolism
103,MAR04193,0,1000,Pyruvate metabolism
104,MAR08497,0,1000,Pyruvate metabolism
105,MAR08500,0,1000,Pyruvate metabolism
106,MAR08501,0,1000,Pyruvate metabolism
107,MAR08502,-1000,1000,Pyruvate metabolism
108,MAR08503,0,1000,Pyruvate metabolism
109,MAR08504,0,1000,Pyruvate metabolism
110,MAR08506,0,1000,Pyruvate metabolism
111,MAR08507,0,1000,Pyruvate metabolism
112,MAR08508,0,1000,Pyruvate metabolism
113,MAR08509,0,1000,Pyruvate metabolism
114,MAR08511,0,1000,Pyruvate metabolism
115,MAR08514,0,1000,Pyruvate metabolism
116,MAR08516,0,1000,Pyruvate metabolism
117,MAR04280,-1000,1000,Pyruvate metabolism
118,MAR00153,0,1000,Propanoate metabolism
119,MAR03212,0,649.528340873758,Propanoate metabolism
120,MAR03797,-1000,1000,Propanoate metabolism
121,MAR04282,0,678.849189487629,Propanoate metabolism
122,MAR04331,-1000,-0,Propanoate metabolism
123,MAR04459,0,1000,Propanoate metabolism
124,MAR04460,-1000,1000,Propanoate metabolism
125,MAR04497,0,649.528341265562,Propanoate metabolism
126,MAR04741,0,649.528341265562,Propanoate metabolism
127,MAR09804,0,-0,Propanoate metabolism
128,MAR01434,-483.695894486955,-0.00658393609000996,Butanoate metabolism
129,MAR01436,0,-0,Butanoate metabolism
130,MAR03163,0,529.289719411535,Butanoate metabolism
131,MAR04461,0,-0,Butanoate metabolism
132,MAR04604,0,-0,Butanoate metabolism
133,MAR05351,-0.17546002020174,-0,Butanoate metabolism
134,MAR07709,0,-0,Butanoate metabolism
135,MAR04052,0,1000,Pentose phosphate pathway
136,MAR04304,0,187.674244535884,Pentose phosphate pathway
137,MAR04306,-1000,1000,Pentose phosphate pathway
138,MAR04350,0,-0,Pentose phosphate pathway
139,MAR04351,0,-0,Pentose phosphate pathway
140,MAR04352,-1000,999.99458289496,Pentose phosphate pathway
141,MAR04354,-1000,1000,Pentose phosphate pathway
142,MAR04398,0,1000,Pentose phosphate pathway
143,MAR04404,-529.40636269554,666.663958114146,Pentose phosphate pathway
144,MAR04473,0,-0,Pentose phosphate pathway
145,MAR04474,0,1000,Pentose phosphate pathway
146,MAR04476,0,-0,Pentose phosphate pathway
147,MAR04477,-1000,1000,Pentose phosphate pathway
148,MAR04501,-529.406362695537,666.663958114146,Pentose phosphate pathway
149,MAR04565,-365.847918623607,1000,Pentose phosphate pathway
150,MAR04567,-1000,1000,Pentose phosphate pathway
151,MAR04568,-1000,1000,Pentose phosphate pathway
152,MAR04623,0,187.674245338366,Pentose phosphate pathway
153,MAR04625,0,1000,Pentose phosphate pathway
154,MAR04710,-1000,1000,Pentose phosphate pathway
155,MAR04841,0,-0,Pentose phosphate pathway
156,MAR08074,0,1000,Pentose phosphate pathway
157,MAR08653,-2.40744964230544e-06,-8.02483214101812e-07,Pentose phosphate pathway
158,MAR03998,0,1000,Purine metabolism
159,MAR04000,0,1000,Purine metabolism
160,MAR04002,-1000,1000,Purine metabolism
161,MAR04004,-1000,1000,Purine metabolism
162,MAR04010,0,1000,Purine metabolism
163,MAR04081,0,954.705235761116,Purine metabolism
164,MAR04082,0,1000,Purine metabolism
165,MAR04012,0,1000,Purine metabolism
166,MAR04014,0,1000,Purine metabolism
167,MAR04020,-1000,-0.00156452148007702,Purine metabolism
168,MAR04022,0,999.99843547852,Purine metabolism
169,MAR04038,0,297.92550367905,Purine metabolism
170,MAR04040,0,1000,Purine metabolism
171,MAR04042,0.00219533975848663,1000,Purine metabolism
172,MAR04046,0,1000,Purine metabolism
173,MAR04048,0,999.99843547852,Purine metabolism
174,MAR04080,0,999.997804660239,Purine metabolism
175,MAR04085,-1000,1000,Purine metabolism
176,MAR04086,0,333.326520162839,Purine metabolism
177,MAR04134,0,-0,Purine metabolism
178,MAR04135,0,1000,Purine metabolism
179,MAR04168,0,999.99843547852,Purine metabolism
180,MAR04171,0,1000,Purine metabolism
181,MAR04406,0,297.92550367905,Purine metabolism
182,MAR04412,-1000,-0.00219533975848663,Purine metabolism
183,MAR04417,0,1000,Purine metabolism
184,MAR04418,-1000,1000,Purine metabolism
185,MAR04419,0,1000,Purine metabolism
186,MAR04421,0,1000,Purine metabolism
187,MAR04449,0,1000,Purine metabolism
188,MAR04450,0,-0,Purine metabolism
189,MAR04451,0,1000,Purine metabolism
190,MAR04452,-1000,1000,Purine metabolism
191,MAR04453,0,1000,Purine metabolism
192,MAR04480,-999.999998120152,999.999477192304,Purine metabolism
193,MAR04481,0,999.99780466024,Purine metabolism
194,MAR04482,0,999.997804660241,Purine metabolism
195,MAR04486,0,1000,Purine metabolism
196,MAR04487,0,1000,Purine metabolism
197,MAR04488,0,1000,Purine metabolism
198,MAR04489,0,1000,Purine metabolism
199,MAR04492,0,-0,Purine metabolism
200,MAR04493,0,-0,Purine metabolism
201,MAR04495,0,-0,Purine metabolism
202,MAR04496,0,-0,Purine metabolism
203,MAR04519,0,1000,Purine metabolism
204,MAR04520,0,1000,Purine metabolism
205,MAR04573,0,1000,Purine metabolism
206,MAR04574,-1000,1000,Purine metabolism
207,MAR04600,0,1000,Purine metabolism
208,MAR04602,0,1000,Purine metabolism
209,MAR04603,-999.99822785932,1000,Purine metabolism
210,MAR04611,0,999.999788621104,Purine metabolism
211,MAR04612,0,999.999788621104,Purine metabolism
212,MAR04614,0,999.99843547852,Purine metabolism
213,MAR04615,0,999.99843547852,Purine metabolism
214,MAR04617,0,1000,Purine metabolism
215,MAR04618,0,999.999788621104,Purine metabolism
216,MAR04619,0,1000,Purine metabolism
217,MAR04621,0,999.999788621104,Purine metabolism
218,MAR04632,0,1000,Purine metabolism
219,MAR04646,0,1000,Purine metabolism
220,MAR04648,0,-0,Purine metabolism
221,MAR04649,0,1000,Purine metabolism
222,MAR04650,0,-0,Purine metabolism
223,MAR04651,-697.661112370694,1000,Purine metabolism
224,MAR04663,0,1000,Purine metabolism
225,MAR04664,0,1000,Purine metabolism
226,MAR04694,0,999.99780466024,Purine metabolism
227,MAR04695,-999.999475312456,1000,Purine metabolism
228,MAR04705,0,1000,Purine metabolism
229,MAR04709,-999.997804660239,1000,Purine metabolism
230,MAR04799,0,297.92550367905,Purine metabolism
231,MAR04802,0,297.92550367905,Purine metabolism
232,MAR04804,-297.92550367905,-0,Purine metabolism
233,MAR04808,0,297.92550367905,Purine metabolism
234,MAR04810,0,297.92550367905,Purine metabolism
235,MAR04812,-297.92550367905,-0,Purine metabolism
236,MAR04814,0,297.92550367905,Purine metabolism
237,MAR05301,0,1000,Purine metabolism
238,MAR05353,-1000,999.99822785932,Purine metabolism
239,MAR06602,0,-0,Purine metabolism
240,MAR06603,0,585.267875240648,Purine metabolism
241,MAR07144,0,999.999926685928,Purine metabolism
242,MAR08755,0,-0,Purine metabolism
243,MAR04016,-1000,1000,Purine metabolism
244,MAR04018,-1000,1000,Purine metabolism
245,MAR04044,-1000,1000,Purine metabolism
246,MAR04291,-1000,1000,Purine metabolism
247,MAR04420,0,1000,Purine metabolism
248,MAR04570,-1000,1000,Purine metabolism
249,MAR04572,0,1000,Purine metabolism
250,MAR04006,-1000,1000,Pyrimidine metabolism
251,MAR04028,-1000,1000,Pyrimidine metabolism
252,MAR04030,-0.000652759430408878,-0.000435172953643814,Pyrimidine metabolism
253,MAR04670,-1000,1000,Pyrimidine metabolism
254,MAR04673,-1000,999.999788621104,Pyrimidine metabolism
255,MAR04675,0,1000,Pyrimidine metabolism
256,MAR06614,-1000,1000,Pyrimidine metabolism
257,MAR06615,-1000,1000,Pyrimidine metabolism
258,MAR06616,-1000,1000,Pyrimidine metabolism
259,MAR04635,-1000,1000,Pyrimidine metabolism
260,MAR03931,0.000211378895983216,1000,Pyrimidine metabolism
261,MAR03969,0,1000,Pyrimidine metabolism
262,MAR03970,0,1000,Pyrimidine metabolism
263,MAR04008,-1000,1000,Pyrimidine metabolism
264,MAR04032,0,1000,Pyrimidine metabolism
265,MAR04034,8.0833464e-05,690.378226495802,Pyrimidine metabolism
266,MAR04036,0,690.378145830858,Pyrimidine metabolism
267,MAR04050,-690.378226495802,-8.08334640396424e-05,Pyrimidine metabolism
268,MAR04056,0,1000,Pyrimidine metabolism
269,MAR04059,0,1.2037248e-06,Pyrimidine metabolism
270,MAR04060,0,-0,Pyrimidine metabolism
271,MAR04127,0,1000,Pyrimidine metabolism
272,MAR04177,0,1000,Pyrimidine metabolism
273,MAR04179,0,-0,Pyrimidine metabolism
274,MAR04182,0,1000,Pyrimidine metabolism
275,MAR04194,0,1000,Pyrimidine metabolism
276,MAR04210,0,1000,Pyrimidine metabolism
277,MAR04211,0,499.989780244257,Pyrimidine metabolism
278,MAR04343,0,1000,Pyrimidine metabolism
279,MAR04345,0,-0,Pyrimidine metabolism
280,MAR04346,0,-0,Pyrimidine metabolism
281,MAR04470,0,-0,Pyrimidine metabolism
282,MAR04471,0,-0,Pyrimidine metabolism
283,MAR04472,0,-0,Pyrimidine metabolism
284,MAR04484,0,1000,Pyrimidine metabolism
285,MAR04485,-1000,-0,Pyrimidine metabolism
286,MAR04510,0,1000,Pyrimidine metabolism
287,MAR04512,-1000,1000,Pyrimidine metabolism
288,MAR04513,0,1000,Pyrimidine metabolism
289,MAR04514,0,999.999788621104,Pyrimidine metabolism
290,MAR04577,-690.378145830858,-0,Pyrimidine metabolism
291,MAR04579,-1000,1000,Pyrimidine metabolism
292,MAR04580,0,1000,Pyrimidine metabolism
293,MAR04608,-690.378226495802,-8.08334640396424e-05,Pyrimidine metabolism
294,MAR04575,0,690.378145830858,Pyrimidine metabolism
295,MAR04637,-1000,999.9996885712,Pyrimidine metabolism
296,MAR04642,0,1000,Pyrimidine metabolism
297,MAR04643,0,999.999543901831,Pyrimidine metabolism
298,MAR04644,-999.9996885712,466.731025877953,Pyrimidine metabolism
299,MAR04676,0,1000,Pyrimidine metabolism
300,MAR05299,0,1000,Pyrimidine metabolism
301,MAR05352,0,1000,Pyrimidine metabolism
302,MAR06612,-1000,1000,Pyrimidine metabolism
303,MAR06613,0,-0,Pyrimidine metabolism
304,MAR06621,0,1000,Pyrimidine metabolism
305,MAR06622,0,-0,Pyrimidine metabolism
306,MAR06623,0,1000,Pyrimidine metabolism
307,MAR06624,0,1000,Pyrimidine metabolism
308,MAR06627,-1000,1000,Pyrimidine metabolism
309,MAR08072,0,1000,Pyrimidine metabolism
310,MAR03965,0,1000,Nucleotide metabolism
311,MAR03966,0,999.999543901831,Nucleotide metabolism
312,MAR03967,-1000,1000,Nucleotide metabolism
313,MAR03968,-1000,999.999788621104,Nucleotide metabolism
314,MAR04024,-1000,1000,Nucleotide metabolism
315,MAR04054,0,1000,Nucleotide metabolism
316,MAR04083,0,1000,Nucleotide metabolism
317,MAR04136,0,-0,Nucleotide metabolism
318,MAR04180,0,1000,Nucleotide metabolism
319,MAR04185,0,1000,Nucleotide metabolism
320,MAR04186,0,1000,Nucleotide metabolism
321,MAR04342,0,-0,Nucleotide metabolism
322,MAR04483,0,1000,Nucleotide metabolism
323,MAR04507,0,999.999788621104,Nucleotide metabolism
324,MAR04516,0,1000,Nucleotide metabolism
325,MAR04601,0,-0,Nucleotide metabolism
326,MAR04633,0,1000,Nucleotide metabolism
327,MAR04640,0,999.999543901831,Nucleotide metabolism
328,MAR04641,0,1000,Nucleotide metabolism
329,MAR04680,-1000,1000,Nucleotide metabolism
330,MAR04806,0,297.92550367905,Nucleotide metabolism
331,MAR06625,0,1000,Nucleotide metabolism
332,MAR06626,0,1000,Nucleotide metabolism
333,MAR07160,0.001038096,0.001557144,Nucleotide metabolism
334,MAR07161,0.004370112,1000,Nucleotide metabolism
335,MAR07162,0,999.995629888,Nucleotide metabolism
336,MAR07163,0,-0,Nucleotide metabolism
337,MAR07164,0,999.995629888,Nucleotide metabolism
338,MAR07713,0,1000,Nucleotide metabolism
339,MAR07716,0,1000,Nucleotide metabolism
340,MAR07717,0,1000,Nucleotide metabolism
341,MAR07721,0,1000,Nucleotide metabolism
342,MAR07725,0,1000,Nucleotide metabolism
343,MAR07728,0,1000,Nucleotide metabolism
344,MAR07801,-1000,1000,Nucleotide metabolism
345,MAR07863,-1000,1000,Nucleotide metabolism
346,MAR07864,-1000,1000,Nucleotide metabolism
347,MAR07865,-1000,1000,Nucleotide metabolism
348,MAR07866,-1000,1000,Nucleotide metabolism
349,MAR07867,-1000,1000,Nucleotide metabolism
350,MAR07868,-1000,1000,Nucleotide metabolism
351,MAR07869,-1000,1000,Nucleotide metabolism
352,MAR07870,-1000,1000,Nucleotide metabolism
353,MAR07871,-1000,1000,Nucleotide metabolism
354,MAR07872,-1000,1000,Nucleotide metabolism
355,MAR07873,-1000,1000,Nucleotide metabolism
356,MAR07874,-1000,1000,Nucleotide metabolism
357,MAR07875,0,1000,Nucleotide metabolism
358,MAR07876,-1000,1000,Nucleotide metabolism
359,MAR07878,0,-0,Nucleotide metabolism
360,MAR07879,0,-0,Nucleotide metabolism
361,MAR07880,0,-0,Nucleotide metabolism
362,MAR07881,0,-0,Nucleotide metabolism
363,MAR07882,-1000,1000,Nucleotide metabolism
364,MAR07883,0,1000,Nucleotide metabolism
365,MAR07884,-1000,1000,Nucleotide metabolism
366,MAR07885,-1000,1000,Nucleotide metabolism
367,MAR07886,-1000,1000,Nucleotide metabolism
368,MAR07887,-1000,1000,Nucleotide metabolism
369,MAR07888,-1000,1000,Nucleotide metabolism
370,MAR07889,0,-0,Nucleotide metabolism
371,MAR07890,0,1000,Nucleotide metabolism
372,MAR07891,-1000,1000,Nucleotide metabolism
373,MAR07892,-1000,1000,Nucleotide metabolism
374,MAR07893,0,-0,Nucleotide metabolism
375,MAR08083,0,-0,Nucleotide metabolism
376,MAR08085,0,-0,Nucleotide metabolism
377,MAR08087,0,-0,Nucleotide metabolism
378,MAR08443,0,-0,Nucleotide metabolism
379,MAR08444,0,-0,Nucleotide metabolism
380,MAR08445,0,-0,Nucleotide metabolism
381,MAR08448,-1000,1000,Nucleotide metabolism
382,MAR08449,-1000,1000,Nucleotide metabolism
383,MAR08450,-1000,1000,Nucleotide metabolism
384,MAR08451,-1000,1000,Nucleotide metabolism
385,MAR08452,-1000,1000,Nucleotide metabolism
386,MAR08453,-1000,1000,Nucleotide metabolism
387,MAR08454,-1000,1000,Nucleotide metabolism
388,MAR08455,-1000,1000,Nucleotide metabolism
389,MAR08456,-1000,1000,Nucleotide metabolism
390,MAR08457,-1000,1000,Nucleotide metabolism
391,MAR08458,-1000,1000,Nucleotide metabolism
392,MAR08459,-1000,1000,Nucleotide metabolism
393,MAR08460,-1000,1000,Nucleotide metabolism
394,MAR08462,-1000,1000,Nucleotide metabolism
395,MAR08463,-1000,1000,Nucleotide metabolism
396,MAR08464,-1000,1000,Nucleotide metabolism
397,MAR08465,-1000,1000,Nucleotide metabolism
398,MAR08466,-1000,1000,Nucleotide metabolism
399,MAR08467,-1000,1000,Nucleotide metabolism
400,MAR08468,-1000,1000,Nucleotide metabolism
401,MAR08469,-1000,1000,Nucleotide metabolism
402,MAR08470,-1000,1000,Nucleotide metabolism
403,MAR08471,-1000,1000,Nucleotide metabolism
404,MAR08472,-1000,1000,Nucleotide metabolism
405,MAR08473,0,999.99780466024,Nucleotide metabolism
406,MAR08474,0,954.705235761114,Nucleotide metabolism
407,MAR08477,0,-0,Nucleotide metabolism
408,MAR08478,-1000,1000,Nucleotide metabolism
409,MAR08479,-1000,1000,Nucleotide metabolism
410,MAR08482,0,1000,Nucleotide metabolism
411,MAR08483,0,-0,Nucleotide metabolism
412,MAR08485,0,-0,Nucleotide metabolism
413,MAR08486,-1000,1000,Nucleotide metabolism
414,MAR08487,0,499.989780244255,Nucleotide metabolism
415,MAR08488,0,-0,Nucleotide metabolism
416,MAR08489,0,-0,Nucleotide metabolism
417,MAR03802,-1000,1000,"Alanine, aspartate and glutamate metabolism"
418,MAR03804,-1000,1000,"Alanine, aspartate and glutamate metabolism"
419,MAR03811,0,-0,"Alanine, aspartate and glutamate metabolism"
420,MAR03813,0,-0,"Alanine, aspartate and glutamate metabolism"
421,MAR03822,0,1000,"Alanine, aspartate and glutamate metabolism"
422,MAR03827,-1000,-0,"Alanine, aspartate and glutamate metabolism"
423,MAR03829,-1000,1000,"Alanine, aspartate and glutamate metabolism"
424,MAR03831,0,1000,"Alanine, aspartate and glutamate metabolism"
425,MAR03865,0,-0,"Alanine, aspartate and glutamate metabolism"
426,MAR03870,0,989.956352853851,"Alanine, aspartate and glutamate metabolism"
427,MAR03873,0,-0,"Alanine, aspartate and glutamate metabolism"
428,MAR08654,0,-0,"Alanine, aspartate and glutamate metabolism"
429,MAR03890,0,1000,"Alanine, aspartate and glutamate metabolism"
430,MAR03892,0,-0,"Alanine, aspartate and glutamate metabolism"
431,MAR09802,0,1000,"Alanine, aspartate and glutamate metabolism"
432,MAR04109,0,1000,"Alanine, aspartate and glutamate metabolism"
433,MAR04114,0,1000,"Alanine, aspartate and glutamate metabolism"
434,MAR04115,0,-0,"Alanine, aspartate and glutamate metabolism"
435,MAR04118,0,999.953556572211,"Alanine, aspartate and glutamate metabolism"
436,MAR04196,0,1000,"Alanine, aspartate and glutamate metabolism"
437,MAR04197,0,-0,"Alanine, aspartate and glutamate metabolism"
438,MAR04287,0,695.642755928924,"Alanine, aspartate and glutamate metabolism"
439,MAR04693,0,695.642755928923,"Alanine, aspartate and glutamate metabolism"
440,MAR06780,1.60963202233688e-06,2.4144479766619e-06,"Alanine, aspartate and glutamate metabolism"
441,MAR07642,0,-0,"Alanine, aspartate and glutamate metabolism"
442,MAR08626,0,-0,"Alanine, aspartate and glutamate metabolism"
443,MAR03806,-1000,1000,Arginine and proline metabolism
444,MAR03807,-1000,0.257387404523797,Arginine and proline metabolism
445,MAR03816,0,-0,Arginine and proline metabolism
446,MAR03819,-500.538258591368,-0,Arginine and proline metabolism
447,MAR03820,-1000,-0,Arginine and proline metabolism
448,MAR03833,0,500.538258591367,Arginine and proline metabolism
449,MAR03835,0,500.538258591368,Arginine and proline metabolism
450,MAR03837,0,-0,Arginine and proline metabolism
451,MAR03895,0,1000,Arginine and proline metabolism
452,MAR03897,0,1000,Arginine and proline metabolism
453,MAR03956,0,1000,Arginine and proline metabolism
454,MAR04073,0,520.821092913236,Arginine and proline metabolism
455,MAR04075,0,481.658119874464,Arginine and proline metabolism
456,MAR04077,0,510.710900129293,Arginine and proline metabolism
457,MAR04212,0,698.810491904003,Arginine and proline metabolism
458,MAR04422,0,1000,Arginine and proline metabolism
459,MAR04423,0,842.60201722828,Arginine and proline metabolism
460,MAR04583,-0.257387404523797,-0.16046487278561,Arginine and proline metabolism
461,MAR04607,0,-0,Histidine metabolism
462,MAR04776,0.015871856152,500.573885402736,Arginine and proline metabolism
463,MAR04777,0,-0,Arginine and proline metabolism
464,MAR04778,0,-0,Arginine and proline metabolism
465,MAR04779,0,-0,Arginine and proline metabolism
466,MAR04780,0,-0,Arginine and proline metabolism
467,MAR04781,0,-0,Arginine and proline metabolism
468,MAR04784,0,1000,Arginine and proline metabolism
469,MAR04785,0,1000,Arginine and proline metabolism
470,MAR04786,0,-0,Arginine and proline metabolism
471,MAR05384,0,520.821092913236,Arginine and proline metabolism
472,MAR06932,0,-0,Arginine and proline metabolism
473,MAR06935,0,-0,Arginine and proline metabolism
474,MAR06938,-481.658119874464,-0,Arginine and proline metabolism
475,MAR06942,0,-0,Arginine and proline metabolism
476,MAR06945,0,-0,Arginine and proline metabolism
477,MAR06948,0,-0,Arginine and proline metabolism
478,MAR06951,0,-0,Arginine and proline metabolism
479,MAR06965,0,-0,Arginine and proline metabolism
480,MAR06966,0,-0,Arginine and proline metabolism
481,MAR08096,-1000,-0,Arginine and proline metabolism
482,MAR08097,0,1000,Arginine and proline metabolism
483,MAR08098,0,-0,Arginine and proline metabolism
484,MAR08416,0,-0,Arginine and proline metabolism
485,MAR08426,0,-0,Arginine and proline metabolism
486,MAR08427,0,-0,Arginine and proline metabolism
487,MAR08603,0,-0,Arginine and proline metabolism
488,MAR08604,0,-0,Arginine and proline metabolism
489,MAR08605,0,-0,Arginine and proline metabolism
490,MAR08606,0,695.642755928923,Arginine and proline metabolism
491,MAR08609,0,-0,Arginine and proline metabolism
492,MAR04285,0,695.642755928922,"Alanine, aspartate and glutamate metabolism"
493,MAR00457,0,1000,"Glycine, serine and threonine metabolism"
494,MAR00460,0,-0,"Glycine, serine and threonine metabolism"
495,MAR03750,0,-0,"Glycine, serine and threonine metabolism"
496,MAR03752,0,1000,"Glycine, serine and threonine metabolism"
497,MAR03770,-1000,1000,"Glycine, serine and threonine metabolism"
498,MAR03771,0,-0,"Glycine, serine and threonine metabolism"
499,MAR03772,0,-0,"Glycine, serine and threonine metabolism"
500,MAR03782,0,-0,"Glycine, serine and threonine metabolism"
501,MAR03784,-999.999961848625,1000,"Glycine, serine and threonine metabolism"
502,MAR03839,4.69962000124724e-05,1000,"Glycine, serine and threonine metabolism"
503,MAR03841,4.69962000124724e-05,1000,"Glycine, serine and threonine metabolism"
504,MAR03843,0,999.9999530038,"Glycine, serine and threonine metabolism"
505,MAR03845,-178.440650572511,1000,"Glycine, serine and threonine metabolism"
506,MAR03847,0,-0,"Glycine, serine and threonine metabolism"
507,MAR03856,0,1000,"Glycine, serine and threonine metabolism"
508,MAR03883,0,1000,"Glycine, serine and threonine metabolism"
509,MAR03939,-1000,-0,"Glycine, serine and threonine metabolism"
510,MAR03974,0,1000,"Glycine, serine and threonine metabolism"
511,MAR04198,0,1000,"Glycine, serine and threonine metabolism"
512,MAR04200,0,1000,"Glycine, serine and threonine metabolism"
513,MAR04348,0.097065692064421,0.175460020201895,"Glycine, serine and threonine metabolism"
514,MAR04582,0.16046487278561,0.257387404523797,"Glycine, serine and threonine metabolism"
515,MAR04584,0,-0,"Glycine, serine and threonine metabolism"
516,MAR04696,0,-0,"Glycine, serine and threonine metabolism"
517,MAR04697,0,-0,"Glycine, serine and threonine metabolism"
518,MAR04698,0,-0,"Glycine, serine and threonine metabolism"
